date,amount,notes
2021-11-02,15200.00,
2021-11-09,15622.45,
2021-11-18,15741.88,
2021-12-01,15430.20,
2021-12-31,15562.75,
2022-02-02,15180.33,
2022-03-02,14992.14,
2022-03-25,15216.87,
2022-04-26,15712.30,
2022-07-02,14852.62,
2022-08-02,16097.10,
2022-08-30,17027.83,
2022-10-05,16392.44,
2022-11-29,16932.75,
2023-01-15,17482.22,
2023-02-02,18662.15,
2023-03-02,19177.29,
2023-05-04,16287.40,Transferred funds for housing costs
2023-08-01,19177.83,
2023-09-11,22242.15,
2023-12-22,23372.28,
2024-01-25,17422.65,Purchased parking space
2024-04-27,20387.45,
2024-06-26,20482.83,
2024-08-28,22087.12,
2024-10-09,23027.47,
2024-11-06,23732.25,
2024-12-09,24652.00,
2024-12-24,25192.35,
2025-02-27,26247.80,
2025-06-05,26657.42,
2025-06-22,27797.28,
2025-08-23,29597.17,
2025-09-28,31292.45,
2025-10-29,33147.92,
2025-12-09,32882.50,Purchased new device
2026-01-12,34437.76,
2026-01-26,36942.25,
2026-03-17,37307.44,Global market events
2026-04-07,37422.55,
2026-04-10,38247.83,
2026-04-23,38777.41,
2026-05-04,39882.25,
2026-05-23,41497.57,
